position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Attacker,ST,Brennan Johnson,5,FALSE,6,2,80,FALSE,0,0,80,0,0,1,100,0,0.28,0,0,0.28,0,0,17,0,0,0,1,0.28,0,0,0,2,4,1,3,5,43,0,2,1,0,0,1,0
Attacker,ST,Danilo,5,FALSE,6.8,2,71,FALSE,0,0,71,0,0,0,65,0,0,0,0.01,0.01,0,0,28,0,3,50,1,0,33,1,0,4,4,1,6,3,71,50,0,0,100,0,0,0
Midfielder,LM,Ola Aina,3,FALSE,6.6,0,72,FALSE,0,0,72,1,0,1,69,0,0.02,0,0,0.02,0,1,25,0,4,100,1,0.02,100,2,1,6,1,0,5,2,67,100,0,1,100,0,0,0
Midfielder,CM,Orel Mangala,3,FALSE,5.8,1,89,FALSE,0,0,90,1,0,0,77,1,0,0,0,0,0,0,24,0,0,100,3,0,0,0,0,6,2,0,2,7,22,0,1,3,0,0,0,0
Midfielder,CM,Ryan Yates,3,FALSE,6.2,2,90,FALSE,0,0,,0,0,0,81,0,0,0,0.01,0.01,0,0,40,0,4,33,1,0,0,0,0,4,4,0,6,4,50,100,3,2,0,0,0,0
Midfielder,RM,Serge Aurier,3,FALSE,6.8,1,90,FALSE,0,0,,0,0,0,55,0,0,0,0,0,0,0,23,0,2,0,1,0,100,1,1,4,3,1,6,5,57,50,2,0,0,0,0,0
Defender,CB,Scott McKenna,1,FALSE,6.4,1,90,FALSE,0,0,,0,0,0,65,0,0,0,0,0,0,0,33,0,3,0,0,0,0,4,2,9,2,0,6,1,75,100,1,1,0,0,0,0
Defender,CB,Joe Worrall,1,TRUE,6.2,1,89,FALSE,0,0,90,0,0,0,63,0,0,0,0,0,0,0,24,0,4,20,0,0,100,5,4,9,1,0,5,3,50,67,0,1,0,0,0,0
Defender,CB,Willy Boly,1,FALSE,6.4,1,90,FALSE,0,0,,0,0,1,78,1,0.21,0.08,0.03,0.24,100,0,40,0,8,0,0,0.21,100,2,1,7,4,1,6,6,40,57,0,2,0,0,0,0
Keeper,GK,Matt Turner,0,FALSE,6.8,2,90,TRUE,0,0,,0,0,0,48,0,0,0,0,0,0,0,38,0,0,44,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Neto,0,TRUE,6.1,2,90,TRUE,0,0,,0,0,0,69,0,0,0,0.01,0,0,0,46,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Max Aarons,1,FALSE,6.8,2,75,FALSE,0,0,75,0,0,0,89,1,0,0,0.07,0.07,0,0,52,0,1,100,0,0,0,0,0,3,3,1,6,6,67,0,2,1,67,0,0,0
Defender,CB,Illia Zabarnyi,1,FALSE,6.7,2,90,FALSE,0,0,,0,0,0,80,0,0,0,0.01,0.01,0,0,102,0,15,27,0,0,100,0,0,4,7,1,5,8,25,44,0,1,0,0,0,0
